Date,Title,Length
May 26 2005,The Country Wife,27078
May 27 2005,Canadian Senate,28186
May 28 2005,The Temptations,52862
May 29 2005,use of poison gas,43263
May 30 2005,Dawson's Creek,33273
May 31 2005,Welding,48474
June 1 2005,Spring Heeled Jack,22748
June 2 2005,Technetium,27586
June 3 2005,Steve Dalkowski,13512
June 4 2005,Papal Tiara,22689
June 5 2005,Windows XP,36634
June 6 2005,Benjamin Mountfort,16218
June 7 2005,The Brothers Karamazov,47955
June 8 2005,corporation tax,33279
June 9 2005,Mumbai,67439
June 10 2005,Sudoku,15675
June 11 2005,MTR,56888
June 12 2005,Habsburg Spain,72342
June 13 2005,James K. Polk,96516
June 14 2005,screenwriting credit,21592
June 15 2005,Cat's Eye Nebula,10675
June 16 2005,Book of Kells,41576
June 17 2005,Warren County Canal,7906
June 18 2005,Swedish,37636
June 19 2005,Link,60338
June 20 2005,Myxobolus cerebralis,18050
June 21 2005,Anne,43777
June 22 2005,Korean name,20167
June 23 2005,Treaty of Devol,15206
June 24 2005,Our Gang,46845
June 25 2005,Libertarianism,55811
June 26 2005,Palace of Westminster,71274
June 27 2005,Seabiscuit,15536
June 28 2005,whale song,16021
June 29 2005,RMS Titanic,89698
June 30 2005,military history of Puerto Rico,89624
July 1 2005,Vanilla Ninja,20433
July 2 2005,Convention on Psychotropic Substances,35299
July 3 2005,Panavision,23494
July 4 2005,Spamming,28224
July 5 2005,Order of Canada,24125
July 6 2005,Kreutz Sungrazers,18463
July 7 2005,geography of India,27638
July 8 2005,David Helvarg,14474
July 9 2005,Piccadilly Circus,19159
July 10 2005,Island Fox,13064
July 11 2005,Gbe languages,20332
July 12 2005,Civil Air Patrol,41721
July 13 2005,Xiangqi,37478
July 14 2005,Democratic Labour Party,14311
July 15 2005,George Moore,16183
July 16 2005,1755 Lisbon earthquake,16622
July 17 2005,Antarctic krill,15435
July 18 2005,Royal Assent,35290
July 19 2005,Polish September Campaign,63290
July 20 2005,Robert Heinlein,66077
July 21 2005,The Ashes,52152
July 22 2005,Căile Ferate Române,32185
July 23 2005,Monty Hall problem,43483
July 24 2005,Hey Jude,40705
July 25 2005,Johannesburg,55508
July 26 2005,Blackface,85717
July 27 2005,Norman Borlaug,48507
July 28 2005,Tony Blair,66261
July 29 2005,open cluster,24717
July 30 2005,Hero of Belarus,10161
July 31 2005,Chagas disease,32394
August 1 2005,Henry Moore,29512
August 2 2005,Common Unix Printing System,15376
August 3 2005,"Marshall, Texas",29811
August 4 2005,Carl Friedrich Gauss,27904
August 5 2005,Tooth enamel,29208
August 6 2005,Grunge music,87365
August 7 2005,Second Crusade,34316
August 8 2005,geology of the Death Valley area,29233
August 9 2005,Sharon Tate,36034
August 10 2005,Augustan literature,54926
August 11 2005,Tasmanian Devil,60019
August 12 2005,Battle of Jutland,101997
August 13 2005,Helen Gandy,10991
August 14 2005,Flag of India,30426
August 15 2005,The Hitchhiker's Guide to the Galaxy,53418
August 16 2005,Commonwealth of Australia,59475
August 17 2005,Canadian Heraldic Authority,11818
August 18 2005,George F. Kennan,74129
August 19 2005,Blaise Pascal,28585
August 20 2005,Porgy and Bess,52046
August 21 2005,Anschluss,55958
August 22 2005,Congress of the United States,65245
August 23 2005,A. E. J. Collins,10345
August 24 2005,Autism,90205
August 25 2005,African American literature,57996
August 26 2005,Angkor Wat,32608
August 27 2005,Rebecca Clarke,13962
August 28 2005,SS Andrea Doria,52846
August 29 2005,Penda,32401
August 30 2005,menstrual cycle,22284
August 31 2005,Iron Maiden,126389
September 1 2005,Zambezi,28978
September 2 2005,USS Missouri,48448
September 3 2005,X Window System,30225
September 4 2005,Gas metal arc welding,28765
September 5 2005,cat,46018
September 6 2005,Jean Schmidt,36749
September 7 2005,Hong Kong,53728
September 8 2005,Władysław Sikorski,33405
September 9 2005,Anarcho-capitalism,61432
September 10 2005,space opera,17986
September 11 2005,Italian Renaissance,54103
September 12 2005,Sandy Koufax,36326
September 13 2005,Tynwald Day,14328
September 14 2005,San Francisco-Oakland Bay Bridge,43224
September 15 2005,Krag-Petersson,11356
September 16 2005,cerebellum,51585
September 17 2005,templon,13070
September 18 2005,Columbine High School massacre,77198
September 19 2005,James I of England,45093
September 20 2005,IFK Göteborg,22333
September 21 2005,Sylvia,17126
September 22 2005,The Giver,18761
September 23 2005,Formula One,74106
September 24 2005,Tamil people,46434
September 25 2005,Bath,57993
September 26 2005,Algerian Civil War,46572
September 27 2005,history of Arizona,30121
September 28 2005,Miles Davis,60720
September 29 2005,Blitzkrieg,70239
September 30 2005,Single Transferable Vote,60818
October 1 2005,Louisville,60486
October 2 2005,economy of India,89269
October 3 2005,Thunderball,22482
October 4 2005,BC Rail,31224
October 5 2005,Asthma,41516
October 6 2005,Commodore 64,62673
October 7 2005,flag of Belarus,11630
October 8 2005,Sun Yat-sen,44623
October 9 2005,Moorgate,6138
October 10 2005,Isaac Brock,35811
October 11 2005,Wario,14505
October 12 2005,shrimp farm,3264
October 13 2005,Hubble Deep Field,16860
October 14 2005,Liberal Party of Canada leadership convention of 1968,21202
October 15 2005,Layla,20208
October 16 2005,Indian Railways,40632
October 17 2005,Seattle,62421
October 18 2005,Colley Cibber,33825
October 19 2005,history of Poland from 1945 to 1989,139342
October 20 2005,Mercantilism,34043
October 21 2005,England expects that every man will do his duty,10157
October 22 2005,Kingdom of Bhutan,67866
October 23 2005,Black Seminoles,31347
October 24 2005,Schizophrenia,54254
October 25 2005,French law on secularity and conspicuous religious symbols in schools,31277
October 26 2005,history of Alaska,30732
October 27 2005,names of the Greeks,46590
October 28 2005,Husein Gradaščević,25489
October 29 2005,Metrication,53522
October 30 2005,Speaker of the House of Commons,35543
October 31 2005,Gray Wolf,61417
November 1 2005,"eigenvalues, eigenvectors, and eigenspaces",63590
November 2 2005,geology of the Grand Canyon area,31984
November 3 2005,Sunset Boulevard,35333
November 4 2005,Cheese,30293
November 5 2005,Kammerlader,9447
November 6 2005,Witold Lutosławski,29075
November 7 2005,Arsenal Football Club,45225
November 8 2005,Gyeongju,41174
November 9 2005,Robert Arthur Lawson,35061
November 10 2005,Dogpatch USA,35085
November 11 2005,Peterborough Chronicle,13207
November 12 2005,Katamari Damacy,23615
November 13 2005,S-mine,13047
November 14 2005,Pan American World Airways,58244
November 15 2005,Comet Shoemaker-Levy 9,20618
November 16 2005,Felice Beato,17790
November 17 2005,My Belarusy,9777
November 18 2005,Multiple sclerosis,44417
November 19 2005,Federalist No. 10,21933
November 20 2005,November,100
November 21 2005,Mário de Andrade,21995
November 22 2005,Ta-Yuan,14376
November 23 2005,Cool,58
November 24 2005,military history of Canada,78381
November 25 2005,ATLAS experiment,27600
November 26 2005,Mary II,22700
November 27 2005,Canon T90,15011
November 28 2005,Tom Brinkman,15771
November 29 2005,Cyberpunk,39547
November 30 2005,flag of Hong Kong,19017
December 1 2005,Rosa Parks,34838
December 2 2005,Acetic acid,26374
December 3 2005,Black pepper,23082
December 4 2005,Pneumonia,46902
December 5 2005,Arrested Development,28836
December 6 2005,Roy Orbison,48817
December 7 2005,Michel Foucault,89038
December 8 2005,Waterfall Gully,19716
December 9 2005,Mandan,40597
December 10 2005,Hugo Chávez,90920
December 11 2005,history of the Jews in Poland,120748
December 12 2005,Yuan,19147
December 13 2005,Isaac Newton,50364
December 14 2005,KaDee Strickland,18348
December 15 2005,Shoe polish,16948
December 16 2005,Canadian House of Commons,34383
December 17 2005,Java,26259
December 18 2005,Herbig-Haro objects,15521
December 19 2005,Yoweri Museveni,36444
December 20 2005,U.S. Navy Marine Mammal Program,13326
December 21 2005,Chennai,74478
December 22 2005,Captain Marvel,75013
December 23 2005,"early life of Joseph Smith, Jr.",30607
December 24 2005,Sicilian Baroque,51744
December 25 2005,Ido,20627
December 26 2005,Richard O'Connor,21019
December 27 2005,fauna of Australia,36483
December 28 2005,Sealand,11293
December 29 2005,blues,50196
December 30 2005,Imagism,15418
December 31 2005,Iowa class battleships,66700
January 1 2006,Dinosaurs,73791
January 2 2006,Our Friends in the North,33383
January 3 2006,Xanadu Houses,11615
January 4 2006,Delrina,34511
January 5 2006,Marilyn Manson,63455
January 6 2006,voting system,31904
January 7 2006,De Lorean DMC-12,29085
January 8 2006,W. Mark Felt,44315
January 9 2006,omnipotence paradox,20777
January 10 2006,White's tree frog,14165
January 11 2006,University of Michigan,76213
January 12 2006,Holkham Hall,17057
January 13 2006,Game theory,54826
January 14 2006,War of the League of Cambrai,22675
January 15 2006,TGV,24822
January 16 2006,Texas Ranger Division,32588
January 17 2006,Butter,17979
January 18 2006,Article 153 of the Constitution of Malaysia,26273
January 19 2006,Hero of Ukraine,15164
January 20 2006,Tooth development,32816
January 21 2006,economy of the Iroquois,17219
January 22 2006,History of Test cricket in the period from 1884 to 1889,22227
January 23 2006,Planetary habitability,50119
January 24 2006,Claudius,46462
January 25 2006,Kalimpong,23892
January 26 2006,StarCraft,38974
January 27 2006,€2 commemorative coins,9401
January 28 2006,Imperial Japanese Navy,59026
January 29 2006,Prostate cancer,59563
January 30 2006,Charles I,60359
January 31 2006,Dixie,32367
February 1 2006,Radhanites,6716
February 2 2006,Adriaen van der Donck,18133
February 3 2006,Restoration spectacular,27073
February 4 2006,Comet Hyakutake,12464
February 5 2006,music of Nigeria,36040
February 6 2006,Hurricane Dennis,12362
February 7 2006,Sino-German cooperation,27773
February 8 2006,Sydney Riot of 1879,28453
February 9 2006,Mount St. Helens,33650
February 10 2006,Macintosh,56659
February 11 2006,Mass Rapid Transit,49179
February 12 2006,Gettysburg  Address,41609
February 13 2006,Douglas Adams,27321
February 14 2006,I Want to Hold Your Hand,18093
February 15 2006,Epaminondas,41615
February 16 2006,Shielded metal arc welding,20374
February 17 2006,Yagan,34557
February 18 2006,political integration of India,55659
February 19 2006,"James T. Aubrey, Jr.",41004
February 20 2006,Sheffield,78951
February 21 2006,Raney nickel,9295
February 22 2006,history of merit badges in the Boy Scouts of America,12159
February 23 2006,Panama Canal,53624
February 24 2006,flag of Mexico,16785
February 25 2006,Médecins Sans Frontières,52203
February 26 2006,history of Portugal from 1777 to 1834,39172
February 27 2006,Washington gubernatorial election of 2004,29215
February 28 2006,Edward Teller,47054
March 1 2006,Paul Kane,25750
March 2 2006,Zion National Park,23171
March 3 2006,Triumph of the Will,19961
March 4 2006,central processing unit,50013
March 5 2006,This Charming Man,13031
March 6 2006,Barbara McClintock,28672
March 7 2006,Battle of Badr,23069
March 8 2006,TARDIS,15309
March 9 2006,Kerala,120524
March 10 2006,Marian Rejewski,39016
March 11 2006,Scotland in the High Middle Ages,51242
March 12 2006,Amateur Radio Direction Finding,21529
March 13 2006,Theodore Roosevelt,116134
March 14 2006,Makuria,47922
March 15 2006,Palazzo Pitti,20811
March 16 2006,Second Malaysia Plan,22311
March 17 2006,The Most Illustrious Order of Saint Patrick,14860
March 18 2006,The West Wing,48935
March 19 2006,The Protocols of the Elders of Zion,40659
March 20 2006,Sun,65698
March 21 2006,Cape Horn,25442
March 22 2006,Bath School disaster,26522
March 23 2006,Isambard Kingdom Brunel,31664
March 24 2006,Canberra,62291
March 25 2006,The Jackson 5,29648
March 26 2006,Electrical engineering,35142
March 27 2006,Frog,77229
March 28 2006,Noah's Ark,18836
March 29 2006,Voter turnout,37681
March 30 2006,Yom Kippur War,145702
March 31 2006,Saffron,31749
April 1 2006,Spoo,19
April 2 2006,George IV,30753
April 3 2006,New England Patriots,59665
April 4 2006,history of Limerick,31484
April 5 2006,Katie Holmes,20970
April 6 2006,Lothal,30985
April 7 2006,Thomas Pynchon,40748
April 8 2006,Kakapo,42342
April 9 2006,Antarctica,44138
April 10 2006,OpenBSD,25268
April 11 2006,Fanny Blankers-Koen,16762
April 12 2006,Canadian federal election of 1993,50219
April 13 2006,Samuel Beckett,38358
April 14 2006,Eldfell,22091
April 15 2006,Equal Protection Clause,50193
April 16 2006,Joan of Arc,46469
April 17 2006,Sverre Sigurdsson,26271
April 18 2006,retreat of glaciers since 1850,63662
April 19 2006,Cheers,41580
April 20 2006,Guqin,31665
April 21 2006,Buckingham Palace,29627
April 22 2006,Marshall Plan,69278
April 23 2006,Turkish literature,42264
April 24 2006,S. A. Andrée's Arctic balloon expedition of 1897,38294
April 25 2006,Attalus I,19046
April 26 2006,Hong Kong action cinema,30465
April 27 2006,1996 U.S. campaign finance scandal,23698
April 28 2006,Swedish allotment system,21439
April 29 2006,Mini,60599
April 30 2006,Diane Keaton,46637
May 1 2006,Starship Troopers,46558
May 2 2006,Bangalore,51875
May 3 2006,Chew Valley Lake,16553
May 4 2006,Albatrosses,35050
May 5 2006,solar eclipse,30941
May 6 2006,Gerald Ford,71272
May 7 2006,Rabindranath Tagore,45012
May 8 2006,HTTP cookie,50221
May 9 2006,Pink Floyd,74491
May 10 2006,flag of Australia,33755
May 11 2006,military history of France,51041
May 12 2006,Perfect Dark,35302
May 13 2006,prostitution in the People's Republic of China,39366
May 14 2006,Sanssouci,27653
May 15 2006,geology of the Capitol Reef area,29789
May 16 2006,Manuel I Comnenus,54346
May 17 2006,Philosophy of mind,51628
May 18 2006,The Catlins,29218
May 19 2006,Henry James,39236
May 20 2006,Brihanmumbai Electric Supply and Transport,26480
May 21 2006,Michigan State University,64398
May 22 2006,James II,41835
May 23 2006,"history of Miami, Florida",34860
May 24 2006,Short-beaked Echidna,38435
May 25 2006,Polish-Soviet War,118697
May 26 2006,Demand Note,23423
May 27 2006,Tenebrae,52908
May 28 2006,Jarmann M1884,9850
May 29 2006,Pakistan,110748
May 30 2006,Hopkins School,16615
May 31 2006,Nostradamus,28573
June 1 2006,2005 Atlantic hurricane season,63876
June 2 2006,Transhumanism,57808
June 3 2006,Bob McEwen,31155
June 4 2006,Elias Ashmole,18210
June 5 2006,Keratoconus,26557
June 6 2006,Krazy Kat,24565
June 7 2006,Muhammad Ali Jinnah,76425
June 8 2006,FIFA World Cup,34147
June 9 2006,USS Wisconsin,41187
June 10 2006,Red vs Blue,45198
June 11 2006,Søren Kierkegaard,133739
June 12 2006,2004 Indian Ocean earthquake,68584
June 13 2006,Phil Collins,72420
June 14 2006,Crab Nebula,19320
June 15 2006,AIDS,61795
June 16 2006,Parliament of the United Kingdom,53877
June 17 2006,Hurricane Floyd,32094
June 18 2006,Che Guevara,93342
June 19 2006,western front of World War I,41266
June 20 2006,Absinthe,40270
June 21 2006,Global warming,57376
June 22 2006,Ku Klux Klan,86730
June 23 2006,Canada,74258
June 24 2006,binary star,34082
June 25 2006,Uma Thurman,31366
June 26 2006,Kolkata,54232
June 27 2006,Oroonoko,42614
June 28 2006,Deconstructivism,19116
June 29 2006,Right whales,26938
June 30 2006,Manila Light Rail Transit System,35637
July 1 2006,Sunday Times Golden Globe Race,38504
July 2 2006,Lindsay Lohan,32138
July 3 2006,Pope Pius XII,114906
July 4 2006,history of New Jersey,39106
July 5 2006,Three Laws of Robotics,43365
July 6 2006,Cystic fibrosis,54215
July 7 2006,Cædmon,17224
July 8 2006,Nauru,31045
July 9 2006,Mauthausen-Gusen concentration camp,30946
July 10 2006,Michigan State Capitol,14709
July 11 2006,Microsoft,56056
July 12 2006,Velociraptor,34132
July 13 2006,Wayne Gretzky,67383
July 14 2006,Bangladesh,112646
July 15 2006,Star Wars Episode III: Revenge of the Sith,40480
July 16 2006,Prime Minister of the United Kingdom,20067
July 17 2006,F-35 Lightning II,65184
July 18 2006,Cape Town,75686
July 19 2006,Final Fantasy X,40833
July 20 2006,Enceladus,47168
July 21 2006,National Anthem of Russia,26846
July 22 2006,Cryptography,50620
July 23 2006,Read my lips: no new taxes,15364
July 24 2006,Lastovo,19926
July 25 2006,Alpha Phi Alpha,64327
July 26 2006,Malwa,31634
July 27 2006,mosque,42863
July 28 2006,Bulbasaur,11639
July 29 2006,Second Battle of Smolensk,22714
July 30 2006,Chromatophores,19312
July 31 2006,Thrasybulus,18784
August 1 2006,Knights of Columbus,22733
August 2 2006,Canadian Charter of Rights and Freedoms,30958
August 3 2006,Damon Hill,27457
August 4 2006,music of the United States,76122
August 5 2006,Ubuntu,29385
August 6 2006,Azerbaijani people,48047
August 7 2006,Schabir Shaik trial,35227
August 8 2006,Libya,72251
August 9 2006,shotgun house,16752
August 10 2006,Kargil War,43973
August 11 2006,Manchester City Football Club,37057
August 12 2006,Augustan drama,31163
August 13 2006,Caroline Island,20342
August 14 2006,O-Bahn Busway,21193
August 15 2006,Cane Toad,31611
August 16 2006,Hurricane Mitch,24256
August 17 2006,Sikhism,66153
August 18 2006,Illmatic,78558
August 19 2006,Roman Vishniac,21901
August 20 2006,Cynna Kydd,12974
August 21 2006,Sesame Street,35257
August 22 2006,IG Farben Building,14560
August 23 2006,Watchmen,59336
August 24 2006,Gregorian chant,53266
August 25 2006,Mercury,50688
August 26 2006,Indian Institutes of Technology,23285
August 27 2006,The Illuminatus! Trilogy,34374
August 28 2006,sequence alignment,33850
August 29 2006,history of Central Asia,51014
August 30 2006,Talbot Tagora,13197
August 31 2006,Chew Valley,20108
September 1 2006,Gremlins,33249
September 2 2006,atomic line filter,17424
September 3 2006,Corinthian War,28828
September 4 2006,Emu,41629
September 5 2006,United States House of Representatives,49568
September 6 2006,Belton House,27636
September 7 2006,Hilary Putnam,35936
September 8 2006,autostereogram,26944
September 9 2006,Simon Byrne,17043
September 10 2006,Actuaries,17965
September 11 2006,Rudolf Vrba,74997
September 12 2006,Tyrannosaurus,84690
September 13 2006,Mariah Carey,87066
September 14 2006,Operation Ten-Go,18371
September 15 2006,Jabba the Hutt,23861
September 16 2006,Caffeine,49365
September 17 2006,Windows 2000,44002
September 18 2006,Pericles,48985
September 19 2006,Rush,55970
September 20 2006,Cornell University,68329
September 21 2006,Dog Day Afternoon,36633
September 22 2006,AK-47,33665
September 23 2006,globular cluster,34262
September 24 2006,jaguar,30640
September 25 2006,House of Commons of the United Kingdom,47756
September 26 2006,Tahirih Justice Center,14854
September 27 2006,St. Michael's Golden-Domed Monastery,17594
September 28 2006,Nepal,82095
September 29 2006,Hurricane Katrina,70071
September 30 2006,Aleksandr Vasilevsky,28472
October 1 2006,The Legend of Zelda: Majora's Mask,30507
October 2 2006,Detroit,104321
October 3 2006,Lost,66979
October 4 2006,Dürer's Rhinoceros,15161
October 5 2006,The Lord of the Rings,43203
October 6 2006,Gas tungsten arc welding,27107
October 7 2006,Adi Shankara,50105
October 8 2006,Acute myeloid leukemia,26291
October 9 2006,Raising the Flag on Iwo Jima,31317
October 10 2006,Sardar Vallabhbhai Patel,67121
October 11 2006,Enzymes,35521
October 12 2006,FA Premier League,55668
October 13 2006,Franklin Delano Roosevelt,100014
October 14 2006,photon,41726
October 15 2006,Banff National Park,42855
October 16 2006,Chola dynasty,59761
October 17 2006,Georg Forster,24393
October 18 2006,Al-Kateb v Godwin,27306
October 19 2006,Nirvana,33737
October 20 2006,history of the Philippines,140586
October 21 2006,Vivien Leigh,35855
October 22 2006,Procellariidae,32575
October 23 2006,Hungarian Revolution of 1956,64970
October 24 2006,Rugby World Cup,16259
October 25 2006,0.999...,39557
October 26 2006,The Relapse,22722
October 27 2006,Compact Cassette,55296
October 28 2006,Bricker Amendment,41271
October 29 2006,Hydrogen,36984
October 30 2006,Defense of Sihang Warehouse,25595
October 31 2006,Night of the Living Dead,40369
November 1 2006,Kochi,56062
November 2 2006,Stuyvesant High School,36126
November 3 2006,slate industry in Wales,30094
November 4 2006,Ketuanan Melayu,102087
November 5 2006,V for Vendetta,32311
November 6 2006,Eric Havelock,20716
November 7 2006,Virtuti Militari,20384
November 8 2006,concerto delle donne,17792
November 9 2006,Karen Dotrice,11493
November 10 2006,Supreme Court of the United States,87963
November 11 2006,Leonhard Euler,35084
November 12 2006,Spyware,29922
November 13 2006,Salvador Dalí,55902
November 14 2006,Eagle Scout,26915
November 15 2006,J. R. R. Tolkien,49155
November 16 2006,Katyn massacre,50796
November 17 2006,"San Francisco, California",88768
November 18 2006,W. S. Gilbert,43899
November 19 2006,star,59873
November 20 2006,Football,39669
November 21 2006,Stephen Colbert's performance at the 2006 White House Correspondents' Association Dinner,22656
November 22 2006,Igor Stravinsky,51032
November 23 2006,Gliding,29907
November 24 2006,Belgrade,60564
November 25 2006,Operation Wrath of God,32431
November 26 2006,Duke University,64498
November 27 2006,Stegosaurus,45394
November 28 2006,Great Fire of London,39619
November 29 2006,Jaws,64815
November 30 2006,history of erotic depictions,39542
December 1 2006,Extratropical cyclones,23052
December 2 2006,Battle of Austerlitz,34171
December 3 2006,Demosthenes,60166
December 4 2006,"""Weird Al"" Yankovic",79853
December 5 2006,Down syndrome,37953
December 6 2006,Mount Rushmore,24868
December 7 2006,extrasolar planet,37578
December 8 2006,definition of Macedonia,31560
December 9 2006,Ina Garten,13755
December 10 2006,Iranian peoples,33068
December 11 2006,Green and Golden Bell Frog,32857
December 12 2006,"Fundamental Rights, Directive Principles and Fundamental Duties of India",23967
December 13 2006,history of the board game Monopoly,50753
December 14 2006,Mormon handcart pioneers,23700
December 15 2006,Enzyme inhibitors,40557
December 16 2006,Abu Musab al-Zarqawi,70874
December 17 2006,sound film,71459
December 18 2006,Manila Metro Rail Transit System,10551
December 19 2006,Muhammad Iqbal,39735
December 20 2006,Kengir uprising,29183
December 21 2006,Selena,54720
December 22 2006,British African-Caribbean community,81640
December 23 2006,Torchic,3209
December 24 2006,Banksia brownii,18405
December 25 2006,Clement of Dunblane,18298
December 26 2006,Mount Tambora,27897
December 27 2006,Sylvanus Morley,39451
December 28 2006,Salsa music,33025
December 29 2006,Redshift,34800
December 30 2006,Kroger Babb,15191
December 31 2006,Maraba Coffee,15094
January 1 2007,Influenza,67976
January 2 2007,Arthur Ernest Percival,27262
January 3 2007,Yarralumla,26680
January 4 2007,John Brooke-Little,13632
January 5 2007,The Adventures of Tintin,53009
January 6 2007,Ahmose I,27356
January 7 2007,Genesis,67589
January 8 2007,Operation Auca,21606
January 9 2007,invasion,20679
January 10 2007,fauna of Puerto Rico,27372
January 11 2007,Half-Life 2,26725
January 12 2007,Richard III,20018
January 13 2007,Alcibiades,48615
January 14 2007,Shoshone National Forest,40180
January 15 2007,Kitsune,23736
January 16 2007,Halloween,48037
January 17 2007,Sheffield Wednesday F.C.,30657
January 18 2007,Restoration literature,45090
January 19 2007,El Greco,37601
January 20 2007,Bacteria,51014
January 21 2007,music of the Lesser Antilles,21109
January 22 2007,Indian Standard Time,4882
January 23 2007,Battle of Cannae,41805
January 24 2007,United States Bill of Rights,47488
January 25 2007,Hasekura Tsunenaga,28382
January 26 2007,history of saffron,22029
January 27 2007,Alain Prost,46599
